char,interactions,modelo_5q$clusters
Grazdan-mo-Eraz,3,1
Grazhar,12,1
Greenbeard,44,1
Gregor-Clegane,410,1
Grenn,265,1
Gretchel,21,1
Grey-Worm,59,1
Greydon-Goodbrother,4,1
Grigg,15,1
Grimtongue,17,1
Grisel,3,1
Groleo,34,1
Grunt,13,1
Guncer-Sunglass,7,1
Gunthor-son-of-Gurn,7,2
Guyard-Morrigen,12,1
Gyles-Grafton,8,2
Gyles-Rosby,101,1
Gynir,7,1
Hagen,21,1
Haggo,45,5
Haggon,8,1
Hairy-Hal,11,1
Hake,4,2
Halder,62,2
Haldon,135,1
Hali,3,1
Hallis-Mollen,46,1
Hallyne,8,1
Halys-Hornwood,3,1
Hareth-(Moles-Town),60,1
Harl,3,1
Harma,39,1
Harra,7,1
Harras-Harlaw,3,2
Harren-Hoare,16,1
Harrold-Hardyng,13,1
Harry-Strickland,31,1
Harwin,71,1
Harwood-Stout,5,1
Harys-Swyft,42,1
Hayhead,9,1
Helman-Tallhart,13,1
Hero,24,1
Heward,8,1
High-Septon-(Tyrions),24,2
High-Septon-(fat_one),12,1
High-Sparrow,76,1
Hizdahr-zo-Loraq,292,1
Hobb,49,1
Hobber-Redwyne,7,1
Hodor,383,1
Holly,23,1
Hop-Robin,13,1
Horas-Redwyne,10,1
Horton-Redfort,21,1
Hosteen-Frey,17,1
Hoster-Blackwood,4,1
Hoster-Tully,90,1
Hot-Pie,195,5
Hother-Umber,16,1
Hotho-Harlaw,16,1
Howland-Reed,6,1
Hugh,3,2
Hugh-Hungerford,3,1
Hugo-Vance,3,1
Hullen,20,1
Humfrey-Hewett,7,1
Husband,7,1
Hyle-Hunt,59,1
Illifer,23,2
Illyrio-Mopatis,138,1
Ilyn-Payne,268,1
Imry-Florent,3,1
Irri,220,1
Jacelyn-Bywater,55,1
Jack-Be-Lucky,5,1
Jack-Bulwer,19,1
Jacks,4,1
Jaehaerys-I-Targaryen,3,2
Jafer-Flowers,3,2
Jaime-Lannister,1569,1
Jalabhar-Xho,16,1
Janos-Slynt,196,2
Jaqen-Hghar,64,1
